,a (AU),e,i (deg),w (deg),Node (deg),M (deg),q (AU),H (mag),MOID (AU),class
30,0.4052852764173933,0.465957895,1.0937919740143178,0.4833898202782213,0.21363561079149335,0.38070349239885976,0.9827354491884627,0.8313253012048194,0.609260259719471,0
31,0.5727505875633364,0.587505769,-0.19557609477209237,0.5779634692725977,0.412271937702555,0.6548999812509018,0.9696061201281917,0.939759036144578,0.9014346599435742,0
32,0.30999187071399137,0.36609243,0.32671390222815816,0.5320863957871483,0.39653477613261473,0.8785780979865195,0.9812881215755195,0.7831325301204823,0.7086459771494887,0
33,0.5305036146255546,0.56101453,-0.32520504045031473,0.0646319317937336,0.0007898697246008462,0.9526083333007803,0.975602191667528,0.7469879518072289,0.9637833403365548,0
34,0.4357849721815862,0.495073328,-0.24574406470330595,0.4874734717959504,0.3990123088452783,0.5876875973482836,0.9757055722113098,0.7590361445783129,0.5024711367228925,0
35,0.7880191500831263,0.678877287,-0.26571520720504654,0.4331811783235583,0.9879341255041347,0.27597776825941883,0.9660911816396155,0.6024096385542173,0.9735078135942533,0
36,0.6807334661410348,0.6286419120000001,1.278024662134202,0.48668002511619746,0.19116773702442053,0.002469901331054671,0.9982425307557118,0.891566265060241,0.9186625847890031,0
37,0.1864633639666987,0.167281821,0.9977236832314998,0.8990335265167794,0.8456506837329575,0.13477169625061713,0.9731210586167683,0.8674698795180724,0.9624827420613483,0
38,0.3779657412586509,0.441277745,-0.2611735019786389,0.9718241758560101,0.9316102246902104,0.9047676140491904,0.9812881215755195,0.8192771084337349,0.683734517878224,0
39,0.47926756364352263,0.528165187,-0.20091184241847762,0.9820867533209872,0.0036030687425182987,0.8183665319589802,0.97446500568593,0.9518072289156625,0.6730496028172961,0
40,0.5368048271126538,0.5688674779999999,-0.5614760572901439,0.6163696336670866,0.6211512009218675,0.33905333296798446,0.965574278920707,0.6746987951807228,0.9311483282309863,0
41,0.2109712928313797,0.226768306,0.43229201607752915,0.4134799358379054,0.36956337271850437,0.6501858255715338,0.9605086322754056,0.9156626506024095,0.6712287652320068,0
42,0.6024743426306777,0.606748744,0.19438444877820665,0.49979360700989384,0.23728196976067012,0.5340481786600861,0.959164685206244,0.8554216867469879,0.10238709806510997,0
43,0.4644484862231554,0.518656279,-0.1579913123813222,0.09332327988812743,0.6972222129163359,0.37423546208962444,0.9720872531789516,0.7590361445783129,0.9958380855193391,0
44,0.6824311506927105,0.638673272,0.0618604642100453,0.5395742386251888,0.4382262092792137,0.1391872647950122,0.9707433061097902,0.6746987951807228,0.6649658843067812,0
45,0.28480383652285723,0.324643902,1.3125626962391157,0.5023205221401517,0.47036706961398733,0.3329442636901473,0.9945208311795718,0.7228915662650603,0.9874542289453149,0
46,0.3783526542829132,0.446867401,-0.02886360948567862,0.47963553509747403,0.0847826611768982,0.8621471445470679,0.9712602088286985,0.8072289156626509,0.593573043600056,0
47,0.6559278298311508,0.621445676,-0.4225400446552338,0.5473471891177567,0.4652304747730474,0.026815461805100627,0.9878010958337641,0.6144578313253013,0.9799107589491166,0
48,0.40211802192869417,0.46409787700000005,0.43418323931187675,0.5185497826287121,0.9880052802980183,0.29580147095615106,0.9807712188566112,0.7590361445783129,0.9639634231746603,0
49,0.6522612355645515,0.6174186110000001,1.110067557306245,0.4945011171691306,0.2590595502608874,0.9037914094283549,0.9946242117233536,0.3614457831325302,0.7829201432659023,0
50,0.219995941842327,0.22592236,-0.08180739187621171,0.011463984162952504,0.6329128011540709,0.577317483057467,0.9852165822392226,0.9156626506024095,0.7315565159973588,0
51,0.2750830440532329,0.33436691399999996,-0.3809495043964412,0.8782736494591802,0.044166527564169465,0.49042594731330885,0.9570970743306108,0.927710843373494,0.8101526702283051,0
52,0.48108345642195127,0.537702164,0.1483104972023992,0.04141054208302744,0.5415383116340902,0.41115509718808113,0.9557531272614493,0.6024096385542173,0.5303239490165476,0
53,0.5567340843806032,0.583111281,0.2725503262542877,0.5095614988679578,0.8201382909405235,0.09701705527315675,0.9584410213997726,0.6626506024096388,0.7404806210856995,0
