,a (AU),e,i (deg),w (deg),Node (deg),M (deg),q (AU),H (mag),MOID (AU),class
19,0.24805179570434147,0.586590426,-0.27289013200658646,0.8109726883683207,0.8665460386957665,0.10804430524806996,0.5204176573968778,0.3614457831325302,0.5692218420473417,2
20,0.4808680358444941,0.662808419,-0.451225429212454,0.4687440324854782,0.22825499322908027,0.0874904249842061,0.6708363485991936,0.18072289156626486,0.9239650239109991,2
21,0.11900417669477673,0.357024169,-0.3160850345363732,0.7094148248742527,0.5008425440986858,0.5406096231406344,0.5836865501912539,0.7951807228915664,0.07225323648878484,2
22,0.26231952160409255,0.360026344,-0.5668100290860579,0.4385660920747366,0.8737604582110635,0.3079138925841646,0.8889692959784967,0.49397590361445776,0.06396942593593054,2
23,0.13158480665257052,0.483131171,-0.030920856764883365,0.33647182062223624,0.9047265017671798,0.9081736611346125,0.4722423239946242,0.3373493975903612,0.41168937711347225,2
24,0.3030291697971197,0.657596724,1.083762804555929,0.21508028358516548,0.2156945696058345,0.07821678808537323,0.4779282539026155,0.0,0.5242411509294276,2
25,0.3075117109562444,0.49984062,-0.13716225436006702,0.292996553406929,0.029590664982760227,0.8192773195038872,0.749819084048382,0.27710843373493965,0.5014906857154291,2
26,0.28163485466154214,0.47799913299999996,-0.4121065205152752,0.443049894417867,0.3758510074165061,0.7513569759304347,0.7413418794582859,0.4457831325301207,0.8881085299237649,2
27,0.09024578625123644,0.406145645,-0.3290629929175847,0.22807822866899863,0.8672855054053131,0.18370751452518946,0.4743099348702574,0.3734939759036142,0.6694079276467174,4
28,0.19537864447267841,0.585364352,-0.30633174021332205,0.7193490008048268,0.26944469858062237,0.2134572465366511,0.44887832109996895,0.3012048192771086,0.11181143325929928,2
29,0.19548862770099687,0.499620192,-0.4181235979993052,0.672586190659957,0.506909313351274,0.3455869337832126,0.5616664943657603,0.5542168674698793,0.483222282249835,2
30,0.15867883977090178,0.412763139,-0.38626405687202103,0.6659102126246654,0.9576134133980707,0.41800183264317886,0.6031220924222062,0.5301204819277108,0.5292234427836804,2
31,0.5753858266544205,0.604021161,-0.5059585930481693,0.18215002092531496,0.5878508660804571,0.5942331612612753,0.9304248940349426,0.6144578313253013,0.5769053764731777,2
32,0.5732387608915684,0.590737634,-0.24232471135401923,0.8995409550356749,0.8389180925668895,0.4589526836908104,0.961955959888349,0.5783132530120478,0.8523120635492326,0
33,0.3489731934699193,0.484123161,0.4227183127217605,0.6452275356445819,0.17011839890326527,0.717557216665652,0.8483407422723043,0.3493975903614457,0.4408427876823339,2
34,0.37094950408515326,0.506510954,-0.2803755502431344,0.4812108438649766,0.8192822597701708,0.03800140544051301,0.8438953788896929,0.31325301204819267,0.9561598335234208,2
